customer_id,signup_date,region,tier,lifetime_value,base_churn_prob
CUST-000001,2024-04-12,Europe,Silver,379.77,0.18
CUST-000002,2025-03-11,Europe,Bronze,101.38,0.28
CUST-000003,2026-05-10,Europe,Gold,797.93,0.1
CUST-000004,2024-09-27,Latin America,Bronze,167.84,0.28
CUST-000005,2024-04-16,Europe,Bronze,182.43,0.28
CUST-000006,2024-03-12,Europe,Gold,1167.94,0.1
CUST-000007,2025-12-01,Europe,Silver,930.1,0.18
CUST-000008,2024-01-21,Asia Pacific,Silver,227.92,0.18
CUST-000009,2025-09-06,Latin America,Bronze,174.6,0.28
CUST-000010,2024-05-01,Latin America,Silver,215.5,0.18
CUST-000011,2025-04-11,Asia Pacific,Bronze,143.9,0.28
CUST-000012,2024-08-02,North America,Bronze,165.78,0.28
CUST-000013,2024-11-26,North America,Silver,419.32,0.18
CUST-000014,2025-04-03,North America,Bronze,68.7,0.28
CUST-000015,2024-03-28,Latin America,Bronze,144.4,0.28
CUST-000016,2025-01-07,Asia Pacific,Gold,1201.4,0.1
CUST-000017,2024-04-09,Asia Pacific,Gold,1718.26,0.1
CUST-000018,2026-05-21,North America,Bronze,84.76,0.28
CUST-000019,2025-10-25,Asia Pacific,Silver,800.82,0.18
CUST-000020,2024-05-10,North America,Bronze,54.79,0.28
CUST-000021,2025-10-23,North America,Gold,714.57,0.1
CUST-000022,2024-11-04,Europe,Silver,482.85,0.18
CUST-000023,2026-02-08,Europe,Bronze,169.85,0.28
CUST-000024,2024-12-09,Europe,Bronze,274.63,0.28
CUST-000025,2025-05-06,Latin America,Bronze,162.06,0.28
CUST-000026,2025-02-17,North America,Silver,432.09,0.18
CUST-000027,2026-03-16,Europe,Silver,537.55,0.18
CUST-000028,2025-01-20,Europe,Bronze,58.8,0.28
CUST-000029,2024-07-10,North America,Bronze,100.24,0.28
CUST-000030,2024-10-03,Asia Pacific,Bronze,93.74,0.28
CUST-000031,2024-06-09,Asia Pacific,Bronze,219.51,0.28
CUST-000032,2025-04-04,Asia Pacific,Bronze,252.3,0.28
CUST-000033,2024-11-09,Latin America,Silver,948.83,0.18
CUST-000034,2024-01-22,Asia Pacific,Silver,565.14,0.18
CUST-000035,2024-09-09,North America,Platinum,5000.65,0.05
