feedback_date,theme,theme_count,total_feedback,theme_share,theme_label
2024-01-01,app_performance,25,132,0.1893939393939394,App Performance
2024-01-02,app_performance,20,132,0.15151515151515152,App Performance
2024-01-03,app_performance,22,146,0.1506849315068493,App Performance
2024-01-04,app_performance,29,154,0.18831168831168832,App Performance
2024-01-05,app_performance,20,134,0.14925373134328357,App Performance
2024-01-06,app_performance,18,142,0.1267605633802817,App Performance
2024-01-07,app_performance,25,148,0.16891891891891891,App Performance
2024-01-08,app_performance,15,140,0.10714285714285714,App Performance
2024-01-09,app_performance,28,152,0.18421052631578946,App Performance
2024-01-10,app_performance,15,134,0.11194029850746269,App Performance
2024-01-11,app_performance,19,145,0.1310344827586207,App Performance
2024-01-12,app_performance,18,104,0.17307692307692307,App Performance
2024-01-13,app_performance,33,140,0.2357142857142857,App Performance
2024-01-14,app_performance,25,142,0.176056338028169,App Performance
2024-01-15,app_performance,27,130,0.2076923076923077,App Performance
2024-01-16,app_performance,17,113,0.1504424778761062,App Performance
2024-01-17,app_performance,19,130,0.14615384615384616,App Performance
2024-01-18,app_performance,14,145,0.09655172413793103,App Performance
2024-01-19,app_performance,26,133,0.19548872180451127,App Performance
2024-01-20,app_performance,24,137,0.17518248175182483,App Performance
2024-01-21,app_performance,15,144,0.10416666666666667,App Performance
2024-01-22,app_performance,19,147,0.1292517006802721,App Performance
2024-01-23,app_performance,25,153,0.16339869281045752,App Performance
2024-01-24,app_performance,25,132,0.1893939393939394,App Performance
2024-01-25,app_performance,28,147,0.19047619047619047,App Performance
2024-01-26,app_performance,22,133,0.16541353383458646,App Performance
2024-01-27,app_performance,20,146,0.136986301369863,App Performance
2024-01-28,app_performance,18,138,0.13043478260869565,App Performance
2024-01-29,app_performance,18,127,0.14173228346456693,App Performance
2024-01-30,app_performance,20,131,0.15267175572519084,App Performance
2024-01-31,app_performance,22,123,0.17886178861788618,App Performance
2024-02-01,app_performance,22,140,0.15714285714285714,App Performance
2024-02-02,app_performance,17,116,0.14655172413793102,App Performance
2024-02-03,app_performance,18,113,0.1592920353982301,App Performance
2024-02-04,app_performance,17,138,0.12318840579710146,App Performance
2024-02-05,app_performance,22,135,0.16296296296296298,App Performance
2024-02-06,app_performance,21,124,0.1693548387096774,App Performance
2024-02-07,app_performance,26,131,0.1984732824427481,App Performance
2024-02-08,app_performance,14,110,0.12727272727272726,App Performance
2024-02-09,app_performance,24,125,0.192,App Performance
2024-02-10,app_performance,15,138,0.10869565217391304,App Performance
2024-02-11,app_performance,18,125,0.144,App Performance
2024-02-12,app_performance,18,151,0.11920529801324503,App Performance
2024-02-13,app_performance,15,119,0.12605042016806722,App Performance
2024-02-14,app_performance,24,158,0.1518987341772152,App Performance
2024-02-15,app_performance,14,126,0.1111111111111111,App Performance
2024-02-16,app_performance,17,120,0.14166666666666666,App Performance
2024-02-17,app_performance,18,126,0.14285714285714285,App Performance
2024-02-18,app_performance,18,130,0.13846153846153847,App Performance
2024-02-19,app_performance,21,140,0.15,App Performance
2024-02-20,app_performance,20,133,0.15037593984962405,App Performance
2024-02-21,app_performance,22,141,0.15602836879432624,App Performance
2024-02-22,app_performance,17,138,0.12318840579710146,App Performance
2024-02-23,app_performance,20,139,0.14388489208633093,App Performance
2024-02-24,app_performance,20,128,0.15625,App Performance
2024-02-25,app_performance,18,126,0.14285714285714285,App Performance
2024-02-26,app_performance,17,119,0.14285714285714285,App Performance
2024-02-27,app_performance,16,125,0.128,App Performance
2024-02-28,app_performance,21,126,0.16666666666666666,App Performance
2024-02-29,app_performance,9,126,0.07142857142857142,App Performance
2024-03-01,app_performance,20,121,0.1652892561983471,App Performance
2024-03-02,app_performance,20,141,0.14184397163120568,App Performance
2024-03-03,app_performance,21,136,0.15441176470588236,App Performance
2024-03-04,app_performance,19,128,0.1484375,App Performance
2024-03-05,app_performance,14,109,0.12844036697247707,App Performance
2024-03-06,app_performance,20,111,0.18018018018018017,App Performance
2024-03-07,app_performance,19,129,0.14728682170542637,App Performance
2024-03-08,app_performance,18,113,0.1592920353982301,App Performance
2024-03-09,app_performance,17,127,0.13385826771653545,App Performance
2024-03-10,app_performance,16,128,0.125,App Performance
2024-03-11,app_performance,21,133,0.15789473684210525,App Performance
2024-03-12,app_performance,18,109,0.1651376146788991,App Performance
2024-03-13,app_performance,14,134,0.1044776119402985,App Performance
2024-03-14,app_performance,18,122,0.14754098360655737,App Performance
2024-03-15,app_performance,24,152,0.15789473684210525,App Performance
2024-03-16,app_performance,14,139,0.10071942446043165,App Performance
2024-03-17,app_performance,19,135,0.14074074074074075,App Performance
2024-03-18,app_performance,21,143,0.14685314685314685,App Performance
2024-03-19,app_performance,21,140,0.15,App Performance
2024-03-20,app_performance,18,122,0.14754098360655737,App Performance
2024-03-21,app_performance,21,126,0.16666666666666666,App Performance
2024-03-22,app_performance,15,123,0.12195121951219512,App Performance
2024-03-23,app_performance,14,124,0.11290322580645161,App Performance
2024-03-24,app_performance,24,158,0.1518987341772152,App Performance
2024-03-25,app_performance,32,156,0.20512820512820512,App Performance
2024-03-26,app_performance,16,131,0.12213740458015267,App Performance
2024-03-27,app_performance,32,134,0.23880597014925373,App Performance
2024-03-28,app_performance,17,130,0.13076923076923078,App Performance
2024-03-29,app_performance,18,151,0.11920529801324503,App Performance
2024-03-30,app_performance,18,121,0.1487603305785124,App Performance
2024-03-31,app_performance,23,133,0.17293233082706766,App Performance
2024-04-01,app_performance,23,136,0.16911764705882354,App Performance
2024-04-02,app_performance,21,124,0.1693548387096774,App Performance
2024-04-03,app_performance,13,117,0.1111111111111111,App Performance
2024-04-04,app_performance,20,132,0.15151515151515152,App Performance
2024-04-05,app_performance,20,135,0.14814814814814814,App Performance
2024-04-06,app_performance,22,132,0.16666666666666666,App Performance
2024-04-07,app_performance,22,124,0.1774193548387097,App Performance
2024-04-08,app_performance,25,139,0.17985611510791366,App Performance
2024-04-09,app_performance,16,130,0.12307692307692308,App Performance
2024-04-10,app_performance,23,152,0.1513157894736842,App Performance
2024-04-11,app_performance,21,108,0.19444444444444445,App Performance
2024-04-12,app_performance,22,133,0.16541353383458646,App Performance
2024-04-13,app_performance,13,123,0.10569105691056911,App Performance
2024-04-14,app_performance,18,143,0.1258741258741259,App Performance
2024-04-15,app_performance,26,130,0.2,App Performance
2024-04-16,app_performance,27,127,0.2125984251968504,App Performance
2024-04-17,app_performance,14,121,0.11570247933884298,App Performance
2024-04-18,app_performance,21,155,0.13548387096774195,App Performance
2024-04-19,app_performance,18,137,0.13138686131386862,App Performance
2024-04-20,app_performance,28,147,0.19047619047619047,App Performance
2024-04-21,app_performance,19,137,0.1386861313868613,App Performance
2024-04-22,app_performance,22,130,0.16923076923076924,App Performance
2024-04-23,app_performance,19,119,0.15966386554621848,App Performance
2024-04-24,app_performance,12,121,0.09917355371900827,App Performance
2024-04-25,app_performance,19,124,0.1532258064516129,App Performance
2024-04-26,app_performance,18,138,0.13043478260869565,App Performance
2024-04-27,app_performance,23,118,0.19491525423728814,App Performance
2024-04-28,app_performance,23,127,0.18110236220472442,App Performance
2024-04-29,app_performance,27,131,0.20610687022900764,App Performance
2024-04-30,app_performance,21,137,0.15328467153284672,App Performance
2024-05-01,app_performance,24,136,0.17647058823529413,App Performance
2024-05-02,app_performance,12,101,0.1188118811881188,App Performance
2024-05-03,app_performance,30,138,0.21739130434782608,App Performance
2024-05-04,app_performance,16,135,0.11851851851851852,App Performance
2024-05-05,app_performance,21,116,0.1810344827586207,App Performance
2024-05-06,app_performance,20,140,0.14285714285714285,App Performance
2024-05-07,app_performance,18,124,0.14516129032258066,App Performance
2024-05-08,app_performance,29,141,0.20567375886524822,App Performance
2024-05-09,app_performance,16,125,0.128,App Performance
2024-05-10,app_performance,20,133,0.15037593984962405,App Performance
2024-05-11,app_performance,23,137,0.1678832116788321,App Performance
2024-05-12,app_performance,29,133,0.21804511278195488,App Performance
2024-05-13,app_performance,15,151,0.09933774834437085,App Performance
2024-05-14,app_performance,15,119,0.12605042016806722,App Performance
2024-05-15,app_performance,16,114,0.14035087719298245,App Performance
2024-05-16,app_performance,23,129,0.17829457364341086,App Performance
2024-05-17,app_performance,18,117,0.15384615384615385,App Performance
2024-05-18,app_performance,16,130,0.12307692307692308,App Performance
2024-05-19,app_performance,13,123,0.10569105691056911,App Performance
2024-05-20,app_performance,18,141,0.1276595744680851,App Performance
2024-05-21,app_performance,15,130,0.11538461538461539,App Performance
2024-05-22,app_performance,18,140,0.12857142857142856,App Performance
2024-05-23,app_performance,17,134,0.12686567164179105,App Performance
2024-05-24,app_performance,21,132,0.1590909090909091,App Performance
2024-05-25,app_performance,24,125,0.192,App Performance
2024-05-26,app_performance,25,148,0.16891891891891891,App Performance
2024-05-27,app_performance,19,108,0.17592592592592593,App Performance
2024-05-28,app_performance,26,125,0.208,App Performance
2024-05-29,app_performance,17,122,0.13934426229508196,App Performance
2024-05-30,app_performance,15,133,0.11278195488721804,App Performance
2024-05-31,app_performance,20,121,0.1652892561983471,App Performance
2024-06-01,app_performance,20,128,0.15625,App Performance
2024-06-02,app_performance,14,122,0.11475409836065574,App Performance
2024-06-03,app_performance,22,130,0.16923076923076924,App Performance
2024-06-04,app_performance,26,133,0.19548872180451127,App Performance
2024-06-05,app_performance,20,125,0.16,App Performance
2024-06-06,app_performance,24,145,0.16551724137931034,App Performance
2024-06-07,app_performance,19,126,0.15079365079365079,App Performance
2024-06-08,app_performance,25,136,0.18382352941176472,App Performance
2024-06-09,app_performance,14,120,0.11666666666666667,App Performance
2024-06-10,app_performance,13,107,0.12149532710280374,App Performance
2024-06-11,app_performance,25,143,0.17482517482517482,App Performance
2024-06-12,app_performance,28,128,0.21875,App Performance
2024-06-13,app_performance,19,136,0.13970588235294118,App Performance
2024-06-14,app_performance,22,125,0.176,App Performance
2024-06-15,app_performance,25,133,0.18796992481203006,App Performance
2024-06-16,app_performance,24,155,0.15483870967741936,App Performance
2024-06-17,app_performance,17,129,0.13178294573643412,App Performance
2024-06-18,app_performance,20,133,0.15037593984962405,App Performance
2024-06-19,app_performance,19,120,0.15833333333333333,App Performance
2024-06-20,app_performance,20,119,0.16806722689075632,App Performance
2024-06-21,app_performance,23,129,0.17829457364341086,App Performance
2024-06-22,app_performance,27,146,0.18493150684931506,App Performance
