theme_label_primary,volume,negative_rate,avg_priority_score
Delivery Delay,28818,0.45901866888750087,40.63425289749462
Product Quality,24504,0.45282402873000327,44.566650342801175
Customer Service,18108,0.4367130550033135,42.12358626021648
Pricing,9551,0.4296932258402262,38.06538582347398
Refund Problems,9421,0.4137565014329689,45.64631143190744
App Performance,9325,0.4004289544235925,40.24597319034853
Payment Issues,5791,0.5208081505784838,48.65280607839752
Packaging,5054,0.3864265927977839,36.04764542936288
General Satisfaction,4938,0.329485621709194,29.4883151073309
Feature Requests,4104,0.0813840155945419,28.826120857699802
Payment Issues (Double Charge),386,1.0,77.65673575129534
