customer_id,tier,lifetime_value,feedback_count,negative_count,avg_churn_risk_score,max_priority_score
CUST-006690,Bronze,73.06,13,12,0.40923076923076923,54.2
CUST-001259,Bronze,163.29,12,11,0.40833333333333327,79.3
CUST-004043,Bronze,117.85,9,8,0.4044444444444444,55.5
CUST-005840,Bronze,178.04,9,8,0.4044444444444444,55.7
CUST-004450,Bronze,319.2,8,7,0.40249999999999997,62.8
CUST-007774,Bronze,170.21,14,12,0.39999999999999997,60.2
CUST-001401,Bronze,89.35,7,6,0.39999999999999997,52.8
CUST-007836,Bronze,168.99,13,11,0.3984615384615384,59.4
CUST-004993,Bronze,110.96,13,11,0.3984615384615384,55.5
CUST-005697,Bronze,260.05,19,16,0.39789473684210525,81.9
CUST-007902,Bronze,172.61,6,5,0.39666666666666667,53.0
CUST-001439,Bronze,116.38,6,5,0.39666666666666667,52.1
CUST-006395,Bronze,75.03,11,9,0.39454545454545453,54.1
CUST-000829,Bronze,152.48,11,9,0.39454545454545453,59.5
CUST-001879,Bronze,214.48,10,8,0.392,60.7
CUST-006556,Bronze,159.23,15,12,0.392,57.8
CUST-002727,Bronze,207.14,10,8,0.392,60.4
CUST-003504,Bronze,83.46,10,8,0.392,51.5
CUST-007006,Bronze,154.43,15,12,0.392,59.9
CUST-003365,Bronze,213.4,15,12,0.392,71.0
CUST-006849,Bronze,130.19,10,8,0.392,58.5
CUST-004523,Bronze,65.75,14,11,0.39,55.1
CUST-000228,Bronze,94.21,14,11,0.39,56.4
CUST-006312,Bronze,136.82,18,14,0.3888888888888889,59.1
CUST-002571,Bronze,114.7,9,7,0.3888888888888889,55.7
CUST-002988,Bronze,264.49,9,7,0.3888888888888889,56.7
CUST-002858,Bronze,118.36,9,7,0.3888888888888889,54.9
CUST-005452,Bronze,321.75,18,14,0.3888888888888889,62.8
CUST-000191,Bronze,175.77,13,10,0.38769230769230767,60.7
CUST-006440,Bronze,176.24,13,10,0.38769230769230767,69.8
CUST-004682,Bronze,85.92,13,10,0.38769230769230767,56.6
CUST-007818,Bronze,94.47,13,10,0.38769230769230767,55.1
CUST-002935,Bronze,305.69,13,10,0.38769230769230767,62.3
CUST-004142,Bronze,223.4,13,10,0.38769230769230767,60.0
CUST-000992,Bronze,130.83,17,13,0.3870588235294118,56.2
CUST-000832,Bronze,135.89,17,13,0.3870588235294118,57.8
CUST-005235,Bronze,214.37,17,13,0.3870588235294118,61.9
CUST-000455,Bronze,93.42,12,9,0.385,55.2
CUST-001757,Bronze,91.04,12,9,0.385,54.3
CUST-001912,Bronze,242.67,8,6,0.385,58.0
CUST-005686,Bronze,132.09,8,6,0.385,56.6
CUST-001750,Bronze,194.54,12,9,0.385,59.2
CUST-003525,Bronze,271.31,12,9,0.385,61.9
CUST-006309,Bronze,97.94,12,9,0.385,54.6
CUST-002095,Bronze,184.21,16,12,0.385,57.7
CUST-002415,Bronze,63.91,12,9,0.385,55.3
CUST-003534,Bronze,113.38,8,6,0.385,56.4
CUST-003282,Bronze,129.48,4,3,0.385,45.6
CUST-001566,Bronze,299.15,20,15,0.385,61.3
CUST-001296,Bronze,163.77,8,6,0.385,58.6
CUST-006408,Bronze,128.96,12,9,0.385,56.6
CUST-003287,Bronze,198.92,8,6,0.385,59.2
CUST-004545,Bronze,108.91,19,14,0.38315789473684214,57.6
CUST-001998,Bronze,132.83,15,11,0.38266666666666665,57.8
CUST-003857,Bronze,170.76,15,11,0.38266666666666665,58.5
CUST-002486,Bronze,226.75,15,11,0.38266666666666665,61.9
CUST-005186,Bronze,144.53,15,11,0.38266666666666665,57.4
CUST-003874,Bronze,109.17,11,8,0.38181818181818183,55.5
CUST-007060,Bronze,177.42,11,8,0.38181818181818183,57.4
CUST-005093,Bronze,198.01,11,8,0.38181818181818183,56.3
CUST-004841,Bronze,266.54,11,8,0.38181818181818183,61.5
CUST-000257,Bronze,86.14,18,13,0.3811111111111111,56.4
CUST-005193,Bronze,102.02,18,13,0.3811111111111111,57.1
CUST-003296,Bronze,89.36,18,13,0.3811111111111111,54.9
CUST-000933,Bronze,163.92,18,13,0.3811111111111111,59.0
CUST-001869,Bronze,297.16,14,10,0.38,63.2
CUST-003373,Bronze,174.56,7,5,0.38,54.6
CUST-006671,Bronze,204.46,14,10,0.38,59.0
CUST-001962,Bronze,157.54,14,10,0.38,57.7
CUST-006610,Bronze,298.35,14,10,0.38,62.6
CUST-003110,Bronze,85.31,14,10,0.38,54.6
CUST-004432,Bronze,111.76,14,10,0.38,55.6
CUST-005751,Bronze,119.88,14,10,0.38,56.1
CUST-007234,Bronze,309.8,14,10,0.38,61.7
CUST-001814,Bronze,113.56,14,10,0.38,55.8
CUST-000561,Bronze,206.94,14,10,0.38,61.6
CUST-005897,Bronze,97.66,14,10,0.38,52.6
CUST-005908,Bronze,133.49,7,5,0.38,54.6
CUST-006084,Bronze,105.21,14,10,0.38,56.5
CUST-007687,Bronze,113.66,14,10,0.38,75.7
CUST-006803,Bronze,131.07,24,17,0.37916666666666665,77.9
CUST-002580,Bronze,184.14,17,12,0.37882352941176467,56.7
CUST-002724,Bronze,91.17,10,7,0.378,50.7
CUST-003740,Bronze,85.03,10,7,0.378,54.5
CUST-005630,Bronze,56.94,20,14,0.378,75.0
CUST-002492,Bronze,263.68,20,14,0.378,63.0
CUST-002982,Bronze,216.77,10,7,0.378,60.3
CUST-003440,Bronze,141.53,10,7,0.378,57.0
CUST-002420,Bronze,299.47,10,7,0.378,57.6
CUST-001266,Bronze,148.53,10,7,0.378,55.3
CUST-000187,Bronze,178.4,10,7,0.378,60.2
CUST-001899,Bronze,200.46,10,7,0.378,58.6
CUST-000200,Bronze,135.78,13,9,0.37692307692307697,56.9
CUST-001069,Bronze,96.45,13,9,0.37692307692307697,57.1
CUST-005935,Bronze,216.43,13,9,0.37692307692307697,61.7
CUST-004848,Bronze,97.04,13,9,0.37692307692307697,53.0
CUST-000946,Bronze,136.63,13,9,0.37692307692307697,55.0
CUST-005625,Bronze,201.52,13,9,0.37692307692307697,59.5
CUST-003106,Bronze,159.48,13,9,0.37692307692307697,58.8
CUST-002903,Bronze,202.36,13,9,0.37692307692307697,59.3
CUST-006584,Bronze,229.8,13,9,0.37692307692307697,81.3
CUST-006169,Bronze,97.63,13,9,0.37692307692307697,52.7
CUST-006711,Bronze,173.13,16,11,0.37625,59.6
CUST-005382,Bronze,223.9,16,11,0.37625,57.9
CUST-002812,Bronze,205.49,16,11,0.37625,80.7
CUST-003019,Bronze,107.7,16,11,0.37625,56.3
CUST-007098,Bronze,206.54,16,11,0.37625,61.1
CUST-003620,Bronze,86.1,16,11,0.37625,55.9
CUST-001158,Bronze,73.64,19,13,0.3757894736842105,56.5
CUST-003419,Bronze,121.95,19,13,0.3757894736842105,57.9
CUST-007023,Bronze,195.66,22,15,0.37545454545454543,80.4
CUST-006052,Bronze,200.07,25,17,0.37520000000000003,61.3
CUST-005013,Bronze,201.2,12,8,0.37333333333333335,58.0
CUST-003608,Bronze,139.01,6,4,0.37333333333333335,50.6
CUST-001244,Bronze,207.28,12,8,0.37333333333333335,60.1
CUST-007378,Bronze,224.32,12,8,0.37333333333333335,77.1
CUST-007379,Bronze,161.0,12,8,0.37333333333333335,55.6
CUST-001182,Bronze,120.06,12,8,0.37333333333333335,56.6
CUST-004429,Bronze,344.47,12,8,0.37333333333333335,59.8
CUST-001597,Bronze,209.52,12,8,0.37333333333333335,60.9
